[Log] stdout/stderr -> logs/main_tracking_v9_20260422_210416.log
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130441.00,,,,,0,00,9999.0,,,,,,*4B
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130441.00,V,,,,,,,220426,0.0,E,N,V*71
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130442.00,,,,,0,00,9999.0,,,,,,*48
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130442.00,V,,,,,,,220426,0.0,E,N,V*72
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130443.00,,,,,0,00,9999.0,,,,,,*49
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130443.00,V,,,,,,,220426,0.0,E,N,V*73
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130444.00,,,,,0,00,9999.0,,,,,,*4E
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130444.00,V,,,,,,,220426,0.0,E,N,V*74
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130445.00,,,,,0,00,9999.0,,,,,,*4F
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130445.00,V,,,,,,,220426,0.0,E,N,V*75
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130446.00,,,,,0,00,9999.0,,,,,,*4C
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130446.00,V,,,,,,,220426,0.0,E,N,V*76
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130447.00,,,,,0,00,9999.0,,,,,,*4D
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130447.00,V,,,,,,,220426,0.0,E,N,V*77
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130448.00,,,,,0,00,9999.0,,,,,,*42
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130448.00,V,,,,,,,220426,0.0,E,N,V*78
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130449.00,,,,,0,00,9999.0,,,,,,*43
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130449.00,V,,,,,,,220426,0.0,E,N,V*79
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130450.00,,,,,0,00,9999.0,,,,,,*4B
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130450.00,V,,,,,,,220426,0.0,E,N,V*71
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130451.00,,,,,0,00,9999.0,,,,,,*4A
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130451.00,V,,,,,,,220426,0.0,E,N,V*70
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130452.00,,,,,0,00,9999.0,,,,,,*49
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130452.00,V,,,,,,,220426,0.0,E,N,V*73
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130453.00,,,,,0,00,9999.0,,,,,,*48
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130453.00,V,,,,,,,220426,0.0,E,N,V*72
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130454.00,,,,,0,00,9999.0,,,,,,*4F
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130454.00,V,,,,,,,220426,0.0,E,N,V*75
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130455.00,,,,,0,00,9999.0,,,,,,*4E
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130455.00,V,,,,,,,220426,0.0,E,N,V*74
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130456.00,,,,,0,00,9999.0,,,,,,*4D
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130456.00,V,,,,,,,220426,0.0,E,N,V*77
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130457.00,,,,,0,00,9999.0,,,,,,*4C
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130457.00,V,,,,,,,220426,0.0,E,N,V*76
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130458.00,,,,,0,00,9999.0,,,,,,*43
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130458.00,V,,,,,,,220426,0.0,E,N,V*79
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130459.00,,,,,0,00,9999.0,,,,,,*42
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130459.00,V,,,,,,,220426,0.0,E,N,V*78
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130500.00,,,,,0,00,9999.0,,,,,,*4F
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130500.00,V,,,,,,,220426,0.0,E,N,V*75
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130501.00,,,,,0,00,9999.0,,,,,,*4E
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130501.00,V,,,,,,,220426,0.0,E,N,V*74
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130502.00,,,,,0,00,9999.0,,,,,,*4D
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130502.00,V,,,,,,,220426,0.0,E,N,V*77
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130503.00,,,,,0,00,9999.0,,,,,,*4C
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130503.00,V,,,,,,,220426,0.0,E,N,V*76
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130504.00,,,,,0,00,9999.0,,,,,,*4B
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130504.00,V,,,,,,,220426,0.0,E,N,V*71
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130505.00,,,,,0,00,9999.0,,,,,,*4A
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130505.00,V,,,,,,,220426,0.0,E,N,V*70
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130506.00,,,,,0,00,9999.0,,,,,,*49
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130506.00,V,,,,,,,220426,0.0,E,N,V*73
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130507.00,,,,,0,00,9999.0,,,,,,*48
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130507.00,V,,,,,,,220426,0.0,E,N,V*72
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130508.00,,,,,0,00,9999.0,,,,,,*47
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130508.00,V,,,,,,,220426,0.0,E,N,V*7D
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130509.00,,,,,0,00,9999.0,,,,,,*46
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130509.00,V,,,,,,,220426,0.0,E,N,V*7C
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130510.00,,,,,0,00,9999.0,,,,,,*4E
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130510.00,V,,,,,,,220426,0.0,E,N,V*74
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130511.00,,,,,0,00,9999.0,,,,,,*4F
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130511.00,V,,,,,,,220426,0.0,E,N,V*75
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130512.00,,,,,0,00,9999.0,,,,,,*4C
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130512.00,V,,,,,,,220426,0.0,E,N,V*76
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130513.00,,,,,0,00,9999.0,,,,,,*4D
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130513.00,V,,,,,,,220426,0.0,E,N,V*77
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130514.00,,,,,0,00,9999.0,,,,,,*4A
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130514.00,V,,,,,,,220426,0.0,E,N,V*70
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130515.00,,,,,0,00,9999.0,,,,,,*4B
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130515.00,V,,,,,,,220426,0.0,E,N,V*71
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130516.00,,,,,0,00,9999.0,,,,,,*48
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130516.00,V,,,,,,,220426,0.0,E,N,V*72
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130517.00,,,,,0,00,9999.0,,,,,,*49
[GPS] Attempt 1: no valid latitude/longitude yet, source=no_fix, retry_in=2.0s
[GPS] Attempt 2: searching satellites and waiting for valid latitude/longitude...
[GPS] raw line: $GNGGA,130520.00,,,,,0,00,9999.0,,,,,,*4D
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130520.00,V,,,,,,,220426,0.0,E,N,V*77
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130521.00,,,,,0,00,9999.0,,,,,,*4C
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130521.00,V,,,,,,,220426,0.0,E,N,V*76
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130522.00,,,,,0,00,9999.0,,,,,,*4F
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130522.00,V,,,,,,,220426,0.0,E,N,V*75
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130523.00,,,,,0,00,9999.0,,,,,,*4E
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130523.00,V,,,,,,,220426,0.0,E,N,V*74
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130524.00,,,,,0,00,9999.0,,,,,,*49
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130524.00,V,,,,,,,220426,0.0,E,N,V*73
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130525.00,,,,,0,00,9999.0,,,,,,*48
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130525.00,V,,,,,,,220426,0.0,E,N,V*72
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130526.00,,,,,0,00,9999.0,,,,,,*4B
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130526.00,V,,,,,,,220426,0.0,E,N,V*71
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130527.00,,,,,0,00,9999.0,,,,,,*4A
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130527.00,V,,,,,,,220426,0.0,E,N,V*70
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130528.00,,,,,0,00,9999.0,,,,,,*45
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130528.00,V,,,,,,,220426,0.0,E,N,V*7F
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130529.00,,,,,0,00,9999.0,,,,,,*44
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130529.00,V,,,,,,,220426,0.0,E,N,V*7E
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130530.00,,,,,0,00,9999.0,,,,,,*4C
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130530.00,V,,,,,,,220426,0.0,E,N,V*76
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130531.00,,,,,0,00,9999.0,,,,,,*4D
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130531.00,V,,,,,,,220426,0.0,E,N,V*77
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130532.00,,,,,0,00,9999.0,,,,,,*4E
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130532.00,V,,,,,,,220426,0.0,E,N,V*74
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130533.00,,,,,0,00,9999.0,,,,,,*4F
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130533.00,V,,,,,,,220426,0.0,E,N,V*75
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130534.00,,,,,0,00,9999.0,,,,,,*48
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130534.00,V,,,,,,,220426,0.0,E,N,V*72
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130535.00,,,,,0,00,9999.0,,,,,,*49
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130535.00,V,,,,,,,220426,0.0,E,N,V*73
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130536.00,,,,,0,00,9999.0,,,,,,*4A
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130536.00,V,,,,,,,220426,0.0,E,N,V*70
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130537.00,,,,,0,00,9999.0,,,,,,*4B
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130537.00,V,,,,,,,220426,0.0,E,N,V*71
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130538.00,,,,,0,00,9999.0,,,,,,*44
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130538.00,V,,,,,,,220426,0.0,E,N,V*7E
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130539.00,,,,,0,00,9999.0,,,,,,*45
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130539.00,V,,,,,,,220426,0.0,E,N,V*7F
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130540.00,,,,,0,00,9999.0,,,,,,*4B
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130540.00,V,,,,,,,220426,0.0,E,N,V*71
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130541.00,,,,,0,00,9999.0,,,,,,*4A
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130541.00,V,,,,,,,220426,0.0,E,N,V*70
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130542.00,,,,,0,00,9999.0,,,,,,*49
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130542.00,V,,,,,,,220426,0.0,E,N,V*73
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130543.00,,,,,0,00,9999.0,,,,,,*48
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130543.00,V,,,,,,,220426,0.0,E,N,V*72
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130544.00,,,,,0,00,9999.0,,,,,,*4F
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130544.00,V,,,,,,,220426,0.0,E,N,V*75
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
[GPS] raw line: $GNGGA,130545.00,,,,,0,00,9999.0,,,,,,*4E
[GPS] raw line: $GPGSA,,1,,,,,,,,,,,,,,,,*73
[GPS] raw line: $GNRMC,130545.00,V,,,,,,,220426,0.0,E,N,V*74
[GPS] raw line: $GPGSV,1,1,00,,,,,*55
